id_kaidah,kategori_utama,sub_kaidah,keterangan_resmi,kriteria_penilaian,nama_lain,typo_asr
1,A. Hukum Mad,Mad Asli/Thabi'e,"Huruf mad (alif/wau/ya) sukun, didahului harakat sejenis, tidak bertemu hamzah/sukun","Dibaca stabil 2 harakat, tidak lebih/kurang","mad thabi'i, mad asli, mad thobii, hukum mad asli, mad tabi, mad thabiie, mad thobi, mad thabi'iy, mad thabi'ah, mad dasar","mad tabii, mat thabi, mad thabi, mad thobi, mad tabi, mat tabii, mad thabie, mad thabiy, mad thabiye, mad tabe"
2,A. Hukum Mad,Mad Wajib Muttasil,Mad Asli bertemu hamzah dalam satu kata,"Panjang 4-5 harakat, konsisten disemua ayat, tidak terputus sebelum hamzah","mad wajib, wajib muttasil, mad muttasil, mad wajib mutasil, wajib muttashil, mad muttashil, mad wajib muttashil, mad muttasil wajib","mad wajip mutasil, mad wajip muttasil, mat wajib mutasil, mad wajeb mutasil, mad wajib mutasill, mad wajip muttashil, mat wajib muttasil, mad wajib mutashil, mad wajid mutasil, mad wajib mutasilh"
3,A. Hukum Mad,Mad Jaiz Munfasil,"Mad Asli di akhir kata, bertemu hamzah di awal kata berikutnya","2/4/5 harakat, tapi harus konsisten sepanjang bacaan","mad jaiz, jaiz munfasil, mad munfasil, mad jaiz munfashil, mad munfashil, mad jaiz munfasil, mad munfasil jaiz, hukum mad jaiz","mad jaes munfasil, mat jaiz munfasil, mad jaiz munfasil, mad jaiz munfashil, mad jaiz munfasel, mad jaiz munfasir, mad jaes munfasel, mat jaez munfasil, mad jaiz menfasil, mad jaiz monfasil"
4,A. Hukum Mad,Mad 'Aridh Lissukun,Mad Asli bertemu huruf hidup di akhir kata yang diwaqafkan,2/4/6 harakat saat waqaf; kembali ke 2 harakat saat washal,"mad arid lissukun, mad 'arid, mad aridh, mad 'aridh, mad arid lis sukun, mad aridh lissukun, mad 'aridh lissukun, mad aridl lissukun","mad arid lisukun, mad aridh lisukun, mad arit lisukun, mad arid lissukun, mad aridh lissukon, mad arid lisukon, mad arit lissukun, mad arith lissukun, mad arid lisukuen"
5,A. Hukum Mad,Mad Shilah Tholiwah,Ha dhomir sebelumnya huruf hidup bertemu hamzah,"2/4/5 harakat, tapi harus konsisten sepanjang bacaan","mad shilah tholiwah, mad shilah thawilah, mad silah tholiwah, mad silah thawilah, mad shilah thowilah, mad shilah towilah, mad shilah tholihwah","mad silah toliwah, mad shilah toliwah, mad silat toliwah, mad shilat tholiwah, mad shilah tolwah, mad silah tawilah, mad shilah tawilah, mad shilah tholawa, mad silah tholawa"
6,A. Hukum Mad,Mad Shilah Qoshiroh,Ha dhomir sebelumnya huruf hidup,"Dibaca stabil 2 harakat, tidak lebih/kurang, Dibaca seperti Ha sukun saat diwaqofkan","mad shilah qoshiroh, mad shilah qashirah, mad silah qoshiroh, mad silah qashirah, mad shilah qosiroh, mad silah qosiroh, mad shilah qasirah","mad silah qosiroh, mad shilah qosiroh, mad silat qosiroh, mad shilat qoshiroh, mad shilah qosroh, mad silah qasirah, mad shilah qasirah, mad shilah qosira, mad silah qosira"
7,A. Hukum Mad,Mad 'Iwadh,Fathatain di akhir kata saat waqaf (selain ta' marbutah),"Tanwin hilang, diganti fathah panjang 2 harakat","mad iwadh, mad 'iwad, mad 'iwadh, mad iwads, mad iwatz, hukum mad iwadh, mad iwadh waqaf, mad fathatain waqaf","mad iwad, mad iwadh, mad iwat, mad iwatz, mad iwach, mad iwadah, mad iwadhh, mad iwath, mad iwatte, mad iwatie"
8,A. Hukum Mad,Mad Badl,Hamzah bertemu huruf mad,"Hamzah dibaca panjang 2 harakat, tidak lebih/kurang","mad badl, mad badal, mad badel, mad badil, hukum mad badl, hukum mad badal, mad badl haqiqi, mad badal sharih","mad badal, mat badl, mad badel, mad badil, mad badall, mad badelah, mad badilih, mad badli, mad badla, mad badle"
9,A. Hukum Mad,Mad Tamkien,Ya' tasydid berharokat kasroh bertemu ya' sukun,"Dibaca panjang 2 harakat, dengan penekanan pada ya tasydid","mad tamkien, mad tamkin, mad tamkeen, hukum mad tamkien, mad tamkien ya, mad tamkin ya, mad tamkien tasydid","mad tamkin, mat tamkien, mad tamkeen, mad tamkine, mad tamkinh, mad tamkienn, mad tamkiena, mad tamkini, mad tamkyn"
10,A. Hukum Mad,Mad Lin,Wawu atau ya' sukun setelah fathah bertemu dengan huruf yang diwaqofkan,2/4/6 harakat saat waqaf; dibaca dengan sifat layyin saat washal,"mad lin, mad layyin, mad leyyin, hukum mad lin, mad lin waqaf, mad layyin waqaf, mad lin sharih","mad lein, mad lien, mat lin, mad layin, mad leyin, mad lynn, mad linh, mad liyn, mad leyn"
11,A. Hukum Mad,Mad Farq,Mad badal bertemu tasydid,Hamzah wajib dibaca panjang 6 harokat,"mad farq, mad fark, mad farqu, hukum mad farq, mad farq enam harakat, mad farq sharih","mad fark, mad farq, mat farq, mad farg, mad fary, mad farqh, mad farquh, mad farkh, mad farqe, mad farqi"
12,A. Hukum Mad,Mad Lazim Mutsaqqol Kalimi,Mad asli bertemu tasydid,"Mad dibaca panjang 6 harokat, tdk kurang","mad lazim mutsaqqol kalimi, mad lazim mutsaqal kalimi, mad lazim mutsaqqal kilmi, mad lazim mutsaqqol","mad lazim mutsaqal, mad lazim mutsaqqol, mat lazim mutsaqqol, mad lazim mutsaqal kalimi, mad lazim mutsaqqol kelimi"
13,A. Hukum Mad,Mad Lazim Mukhoffaf Kalimi,Mad badl bertemu sukun,"Hamzah dibaca panjang 6 harokat, tdk kurang","mad lazim mukhoffaf kalimi, mad lazim mukhaffaf kalimi, mad lazim mukhoffaf kilmi, mad lazim mukhoffaf","mad lazim mukhaffaf, mad lazim mukhoffaf, mat lazim mukhoffaf, mad lazim mukhaffaf kalimi, mad lazim mukhoffaf kelimi"
14,A. Hukum Mad,Mad Lazim Mutsaqqol Harfi,Huruf نقص عسلكم diawal surat yang di idghomkan,"Huruf dibaca panjang 6 harokat, dengan dengung antara huruf yg di idhgomkan","mad lazim mutsaqqol harfi, mad lazim mutsaqal harfi, mad lazim mutsaqqol harfiy, mad lazim mutsaqqol","mad lazim mutsaqal harfi, mad lazim mutsaqqol harfy, mat lazim mutsaqqol harfi, mad lazim mutsaqal harfiy, mad lazim mutsaqqol harfiee"
15,A. Hukum Mad,Mad Lazim Mukhoffaf Harfi,Huruf نقص عسلكم diawal surat yang tidak di idghomkan,"Huruf dibaca panjang 6 harokat, tanpa idghom","mad lazim mukhoffaf harfi, mad lazim mukhaffaf harfi, mad lazim mukhoffaf harfiy, mad lazim mukhoffaf","mad lazim mukhaffaf harfi, mad lazim mukhoffaf harfy, mat lazim mukhoffaf harfi, mad lazim mukhaffaf harfiy, mad lazim mukhoffaf harfiee"
16,B. Hukum Nun Sukun & Tanwin,Idzhar Halqi,"Bertemu huruf hamzah, ha, ain, ha, ghain, kha","Bunyi nun/tanwin jelas, tanpa dengung","idzhar, izhar, idzhar halqi, izhar halqi, hukum idzhar, hukum izhar, idzhar halqy, idzhar halqiy","izhar halqi, idhar halqi, edhar halqi, idzar halqi, idzharku, isdhar halqi, izdar halqi, idzhar halqy"
17,B. Hukum Nun Sukun & Tanwin,Idgham Bighunnah,"Bertemu huruf ya, nun, mim, wau (beda kata)","Melebur ke huruf berikutnya, dengung 2 harakat","idgham bighunnah, idgom bighunnah, idgham bi ghunnah, idgham ma'al ghunnah, idgham bighuna","idgom bighunnah, idgham bighuna, idgham bigunah, idgham bigunnah, idgom bigunnah, idgham bighunnah"
18,B. Hukum Nun Sukun & Tanwin,Idgham Bilaghunnah,"Bertemu huruf lam, ra","Melebur total, tanpa dengung sama sekali","idgham bilaghunnah, idgom bilaghunnah, idgham bila ghunnah, idgham bilaguna, idgham bila gunnah","idgom bilaghunnah, idgham bilaghuna, idgham bilagunah, idgham bilagunnah, idgom bilagunnah"
19,B. Hukum Nun Sukun & Tanwin,Iqlab,Bertemu huruf ba,"Nun berubah bunyi jadi mim, dengung 2 harakat, bibir tertutup","iqlab, hukum iqlab, iklab, iqolab, iqlab nun sukun, iqlab tanwin, iqlab haqiqi","iklab, iqolab, iqlap, eklab, eqolab, iqlabb, iqlabe, iqlaby"
20,B. Hukum Nun Sukun & Tanwin,Ikhfa Haqiqi,Bertemu 15 huruf yaitu : ص ذ ث k ج ش ق س d ط z ف t ض ظ,"Dibaca samar (antara jelas dan melebur), dengung 2 harakat, lidah menyesuaikan makhraj berikutnya","ikhfa, ikhfa haqiqi, ihfa, ihfa haqiqi, ikhfa' haqiqi, hukum ikhfa, ikhfa haqiqiy","ihfa haqiqi, ikfa haqiqi, ihpa haqiqi, ikhfa hakiki, ihfa hakiki, ikfa hakiki, ikhfa haqiqe"
21,C. Hukum Mim Sukun,Idzhar Syafawi,Mim Sukun Bertemu huruf selain ba dan mim,Mim sukun dibaca jelas tanpa dengung,"idzhar syafawi, izhar syafawi, idzhar syafawy, izhar syafawy, hukum idzhar syafawi, hukum izhar syafawi","izhar syafawi, idhar syafawi, idzhar safawi, izhar safawi, idhar safawi, idzhar syafawy"
22,C. Hukum Mim Sukun,Idgham Mimi,Mim Sukun Bertemu huruf mim berharokat,"Dileburkan kedalam mim kedua, dengung 2 harakat","idgham mimi, idgom mimi, idgham mitsli, idgham mutamatsilain mimi, idgham mim, hukum idgham mimi","idgom mimi, idgham meme, idgom meme, idgham mimy, idgom mimy, idgham mimie"
